,ICC
energy_content_below_05_Power_Spectrum_Density_AP,0.8650908858925699
total_power_Power_Spectrum_Density_AP,0.8590277905067288
long_time_scaling_Diffusion_ML,0.826197596227182
mean_velocity_AP,0.8250751409976173
peak_velocity_all_SPD_AP,0.7943583880092159
centroid_frequency_Power_Spectrum_Density_AP,0.7883517833921901
power_frequency_95_Power_Spectrum_Density_AP,0.787486369761403
critical_time_Diffusion_ML,0.7815109064788182
phase_plane_parameter_AP,0.7796293720755209
mean_distance_AP,0.7169465240609788
mean_value_AP,0.7090271523439345
critical_time_Diffusion_AP,0.7036623355936829
rms_AP,0.6685295511743375
maximal_distance_AP,0.633718494847886
critical_displacement_Diffusion_AP,0.627874395633733
frequency_mode_Power_Spectrum_Density_ML,0.6128335208854934
short_time_diffusion_Diffusion_AP,0.6069142985201501
short_time_scaling_Diffusion_ML,0.6034620335380408
range_AP,0.5965603269705065
peak_velocity_neg_SPD_AP,0.5889845482702386
frequency_dispersion_Power_Spectrum_Density_ML,0.5727662116522545
zero_crossing_SPD_ML,0.4778631540431761
power_frequency_95_Power_Spectrum_Density_ML,0.475356336774243
frequency_dispersion_Power_Spectrum_Density_AP,0.45734262621664806
long_time_scaling_Diffusion_AP,0.3977885118239383
peak_velocity_pos_SPD_AP,0.36305549608453397
frequency_quotient_Power_Spectrum_Density_AP,0.23890493301710186
centroid_frequency_Power_Spectrum_Density_ML,0.23689846788504315
coefficient_sway_direction_ML_AND_AP,0.22307076557203626
power_frequency_50_Power_Spectrum_Density_ML,0.20357882237502262
mean_frequency_AP,0.1627754245498782
frequency_quotient_Power_Spectrum_Density_ML,0.16230706037819087
fractal_dimension_ML_AND_AP,0.12839696446634907
short_time_scaling_Diffusion_AP,0.12374561395623423
zero_crossing_SPD_AP,0.11973756150902137
mean_value_ML,0.024224537298416816
mean_frequency_ML_AND_AP,0.023204760706710594
long_time_diffusion_Diffusion_AP,0.02270416647777073
frequency_mode_Power_Spectrum_Density_AP,0.012535543971782213
power_frequency_50_Power_Spectrum_Density_AP,0.012535543971782213
energy_content_above_2_Power_Spectrum_Density_AP,0.0010600956874744325
energy_content_05_2_Power_Spectrum_Density_AP,-0.007177646843790655
energy_content_above_2_Power_Spectrum_Density_ML,-0.011435870653476102
energy_content_05_2_Power_Spectrum_Density_ML,-0.01498682311821913
LFS_ML_AND_AP,-0.015485675401994055
total_power_Power_Spectrum_Density_ML,-0.03565216783488783
energy_content_below_05_Power_Spectrum_Density_ML,-0.03757032743954237
short_time_diffusion_Diffusion_ML,-0.042603579987748504
range_ratio_ML_AND_AP,-0.07439073801270603
critical_displacement_Diffusion_ML,-0.1128964445458296
mean_frequency_ML,-0.11782598512409666
mean_peak_Sway_Density,-0.14517910361791025
maximal_distance_ML,-0.16226859406871327
maximal_distance_Radius,-0.1745163260665847
range_ML,-0.18915111545358015
rms_ML,-0.19268483312199763
mean_distance_ML,-0.19377316932200744
range_ML_AND_AP,-0.1986510993299923
phase_plane_parameter_ML,-0.22342554218759839
peak_velocity_pos_SPD_ML,-0.23632200510965334
mean_velocity_ML,-0.23641420183875653
long_time_diffusion_Diffusion_ML,-0.2437639660372538
peak_velocity_all_SPD_ML,-0.24682717977398863
peak_velocity_neg_SPD_ML,-0.2587257458932585
planar_deviation_ML_AND_AP,-0.26440517615008186
rms_Radius,-0.264405176150082
confidence_ellipse_area_ML_AND_AP,-0.2844605428541404
mean_distance_Radius,-0.29435172222305334
mean_velocity_ML_AND_AP,-0.42900018074298046
principal_sway_direction_ML_AND_AP,-0.595308625229787
mean_distance_peak_Sway_Density,-0.6743433520732289
sway_area_per_second_ML_AND_AP,-0.745834214911258
